WKT,名前,説明,列４,住所
"POINT (139.0 35.0)", "西部区民事務所", "説明", "豊島区", "東京都豊島区千早2-39-16"
"POINT (139.0 35.0)", "東武百貨店池袋本店", "説明", "豊島区", "東京都豊島区西池袋1-1-25"
"POINT (139.0 35.0)", "西武池袋本店", "説明", "豊島区", "東京都豊島区南池袋1-28-1"
"POINT (139.0 35.0)", "北区役所別館２階研修室", "説明", "北区", "東京都北区王子本町1-11-9"
"POINT (139.0 35.0)", "赤羽会館１階ロビー", "説明", "北区", "東京都北区赤羽南1-13-1"
"POINT (139.0 35.0)", "滝野川会館２階コムコムスペース", "説明", "北区", "東京都北区西ヶ原1-23-3"
"POINT (139.0 35.0)", "赤羽北区民センター２階活動室", "説明", "北区", "東京都北区赤羽北2-25-8-201"
"POINT (139.0 35.0)", "田端文士村記念館１階多目的ホール", "説明", "北区", "東京都北区田端6-1-2"
"POINT (139.0 35.0)", "東十条区民センター３階地域振興室会議室", "説明", "北区", "東京都北区東十条3-2-14"
"POINT (139.0 35.0)", "荒川区役所本庁舎１階ロビー", "説明", "荒川区", "東京都荒川区荒川2-2-3"
"POINT (139.0 35.0)", "南千住駅前ふれあい館洋室１・２", "説明", "荒川区", "東京都荒川区南千住7-1-1 アクレスティ南千住"
"POINT (139.0 35.0)", "荒川総合スポーツセンター１階 エントランスホール", "説明", "荒川区", "東京都荒川区南千住6-45-5"
"POINT (139.0 35.0)", "町屋文化センター２階プレイコーナー", "説明", "荒川区", "東京都荒川区荒川7-20-1"
"POINT (139.0 35.0)", "シルバー人材センター荒川授産場 地下１階会議室", "説明", "荒川区", "東京都荒川区東尾久4-32-7"
"POINT (139.0 35.0)", "あらかわ遊園スポーツハウス１階会議室", "説明", "荒川区", "東京都荒川区西尾久8-3-1"
"POINT (139.0 35.0)", "ふらっとにっぽり１階おもてなしスペース", "説明", "荒川区", "東京都荒川区東日暮里6-17-6"
"POINT (139.0 35.0)", "板橋区役所", "説明", "板橋区", "東京都板橋区板橋2-66-1"
"POINT (139.0 35.0)", "仲町ふれあいセンター", "説明", "板橋区", "東京都板橋区仲町20-5"
"POINT (139.0 35.0)", "富士見地域センター", "説明", "板橋区", "東京都板橋区富士見町3-1"
"POINT (139.0 35.0)", "大谷口地域センター", "説明", "板橋区", "東京都板橋区大谷口2-12-5"
"POINT (139.0 35.0)", "常盤台地域センター", "説明", "板橋区", "東京都板橋区常盤台4-14-1"
"POINT (139.0 35.0)", "志村坂上地域センター", "説明", "板橋区", "東京都板橋区小豆沢2-19-15"
"POINT (139.0 35.0)", "志村健康福祉センター", "説明", "板橋区", "東京都板橋区蓮根2-5-5"
"POINT (139.0 35.0)", "舟渡ホール", "説明", "板橋区", "東京都板橋区舟渡1-14-5"
"POINT (139.0 35.0)", "エコポリスセンター", "説明", "板橋区", "東京都板橋区前野町4-6-1"
"POINT (139.0 35.0)", "赤塚支所", "説明", "板橋区", "東京都板橋区赤塚6-38-1"
"POINT (139.0 35.0)", "成増アクトホール", "説明", "板橋区", "東京都板橋区成増3-11-3"
"POINT (139.0 35.0)", "きたのホール", "説明", "板橋区", "東京都板橋区徳丸2-12-12"
"POINT (139.0 35.0)", "高島平区民館", "説明", "板橋区", "東京都板橋区高島平3-12-28"
"POINT (139.0 35.0)", "練馬区役所", "説明", "練馬区", "東京都練馬区豊玉北6-12-1"
"POINT (139.0 35.0)", "石神井庁舎", "説明", "練馬区", "東京都練馬区石神井町3-30-26"
"POINT (139.0 35.0)", "光が丘区民センター", "説明", "練馬区", "東京都練馬区光が丘2-9-6"
"POINT (139.0 35.0)", "関区民センター", "説明", "練馬区", "東京都練馬区関町北1-7-2"
"POINT (139.0 35.0)", "勤労福祉会館", "説明", "練馬区", "東京都練馬区東大泉5-40-36"
"POINT (139.0 35.0)", "平和台体育館", "説明", "練馬区", "東京都練馬区平和台2-12-5"
"POINT (139.0 35.0)", "大泉学園町体育館", "説明", "練馬区", "東京都練馬区大泉学園町5-14-24"
"POINT (139.0 35.0)", "足立区役所", "説明", "足立区", "東京都足立区中央本町1-17-1"
"POINT (139.0 35.0)", "シアター１０１０（北千住マルイ１０階）", "説明", "足立区", "東京都足立区千住3-92"
"POINT (139.0 35.0)", "竹の塚センター", "説明", "足立区", "東京都足立区竹の塚2-25-17"
"POINT (139.0 35.0)", "アリオ西新井", "説明", "足立区", "東京都足立区西新井栄町1-20-1"
"POINT (139.0 35.0)", "勤労福祉会館", "説明", "足立区", "東京都足立区綾瀬1-34-7"
"POINT (139.0 35.0)", "佐野地域学習センター", "説明", "足立区", "東京都足立区佐野2-43-5"
"POINT (139.0 35.0)", "押皿谷住区センター", "説明", "足立区", "東京都足立区鹿浜8-27-15"
"POINT (139.0 35.0)", "梅田地域学習センター", "説明", "足立区", "東京都足立区梅田7-33-1"
"POINT (139.0 35.0)", "千住庁舎", "説明", "足立区", "東京都足立区千住仲町19-3"
"POINT (139.0 35.0)", "鹿浜いきいき館", "説明", "足立区", "東京都足立区鹿浜2-24-2"
"POINT (139.0 35.0)", "扇住区センター", "説明", "足立区", "東京都足立区扇1-47-38"
"POINT (139.0 35.0)", "舎人地域学習センター", "説明", "足立区", "東京都足立区舎人1-3-26"
"POINT (139.0 35.0)", "花畑地域学習センター", "説明", "足立区", "東京都足立区花畑4-16-8"
"POINT (139.0 35.0)", "葛飾区役所", "説明", "葛飾区", "東京都葛飾区立石5-13-1"
"POINT (139.0 35.0)", "堀切地区センター", "説明", "葛飾区", "東京都葛飾区堀切3-8-5"
"POINT (139.0 35.0)", "亀有地区センター", "説明", "葛飾区", "東京都葛飾区亀有3-26-1 リリオ館7階"
"POINT (139.0 35.0)", "高砂地区センター", "説明", "葛飾区", "東京都葛飾区高砂3-1-39"
"POINT (139.0 35.0)", "金町地区センター", "説明", "葛飾区", "東京都葛飾区東金町1-22-1"
"POINT (139.0 35.0)", "西水元地区センター", "説明", "葛飾区", "東京都葛飾区西水元5-3-1-101"
"POINT (139.0 35.0)", "新小岩地域活動センター別館（えきにこわ）", "説明", "葛飾区", "東京都葛飾区新小岩1-45-1"
"POINT (139.0 35.0)", "イトーヨーカドー四つ木店 １階", "説明", "葛飾区", "東京都葛飾区四つ木2-21-1"
"POINT (139.0 35.0)", "江戸川区役所", "説明", "江戸川区", "東京都江戸川区中央1-4-1"
"POINT (139.0 35.0)", "小松川区民館", "説明", "江戸川区", "東京都江戸川区平井4-1-1"
"POINT (139.0 35.0)", "葛西区民館", "説明", "江戸川区", "東京都江戸川区中葛西3-10-1"
"POINT (139.0 35.0)", "小岩区民館", "説明", "江戸川区", "東京都江戸川区東小岩6-9-14"
"POINT (139.0 35.0)", "東部区民館", "説明", "江戸川区", "東京都江戸川区東瑞江1-17-1"
"POINT (139.0 35.0)", "鹿骨区民館", "説明", "江戸川区", "東京都江戸川区鹿骨1-54-2"
"POINT (139.0 35.0)", "アリオ葛西", "説明", "江戸川区", "東京都江戸川区東葛西9-3-3"
"POINT (139.0 35.0)", "船堀コミュニティ会館", "説明", "江戸川区", "東京都江戸川区船堀1-3-1"
"POINT (139.0 35.0)", "イオン葛西店", "説明", "江戸川区", "東京都江戸川区西葛西3-9-19"
"POINT (139.0 35.0)", "しのざき文化プラザ", "説明", "江戸川区", "東京都江戸川区篠崎町7-20-19"
"POINT (139.0 35.0)", "八王子市役所本庁舎", "説明", "八王子市", "東京都八王子市元本郷町3-24-1"
"POINT (139.0 35.0)", "由木事務所", "説明", "八王子市", "東京都八王子市下柚木2-10-6"
"POINT (139.0 35.0)", "南大沢文化会館", "説明", "八王子市", "東京都八王子市南大沢2-27 フレスコ南大沢1階"
"POINT (139.0 35.0)", "元八王子事務所", "説明", "八王子市", "東京都八王子市大楽寺町419-1"
"POINT (139.0 35.0)", "北野事務所", "説明", "八王子市", "東京都八王子市北野町549-5"
"POINT (139.0 35.0)", "石川事務所", "説明", "八王子市", "東京都八王子市石川町481"
"POINT (139.0 35.0)", "八王子駅南口総合事務所", "説明", "八王子市", "東京都八王子市子安町4-7-1 サザンスカイタワー八王子4階"
"POINT (139.0 35.0)", "イーアス高尾", "説明", "八王子市", "東京都八王子市東浅川町550-1"
"POINT (139.0 35.0)", "立川市役所１０１会議室", "説明", "立川市", "東京都立川市泉町1156-9"
"POINT (139.0 35.0)", "窓口サービスセンター多目的スペース", "説明", "立川市", "東京都立川市曙町2-2-27"
"POINT (139.0 35.0)", "立川市西砂学習館視聴覚室", "説明", "立川市", "東京都立川市西砂町6-12-10"
"POINT (139.0 35.0)", "立川市子ども未来センター地下ギャラリー", "説明", "立川市", "東京都立川市錦町3-2-26"
"POINT (139.0 35.0)", "武蔵野市役所西棟１階１１１会議室", "説明", "武蔵野市", "東京都武蔵野市緑町2-2-28"
"POINT (139.0 35.0)", "武蔵野商工会館３階消費生活センター講座室", "説明", "武蔵野市", "東京都武蔵野市吉祥寺本町1-10-7"
"POINT (139.0 35.0)", "武蔵野プレイス１階ギャラリー", "説明", "武蔵野市", "東京都武蔵野市境南町2-3-18"
"POINT (139.0 35.0)", "三鷹市第三庁舎", "説明", "三鷹市", "東京都三鷹市野崎1-1-1"
